Ticker,Name,Price,NWCI,CFOA,D/E,PAT,Dependent variables,,,,,
IPCA IS Equity,Ipca Laboratories Ltd,554.1,-257.6,4405799936,42.33731842,2535265536,1,,,,,
DELTA IS Equity,Delta Corp Ltd,61.7,-121.984,338383008,42.70911789,55989540,1,,,,,
NLC IS Equity,Neyveli Lignite Corp Ltd,66.5,2897.2,19327899648,43.32040024,10055461888,1,,,,,
PSL IS Equity,Pennar Industries Ltd,44,882.9,-39200000,43.45567322,662785216,1,,,,,
DRRD IS Equity,Dr Reddy's Laboratories Ltd,3187.05,-428,24955000832,43.78419113,22564360192,1,,,,,
UBBL IS Equity,United Breweries Ltd,804,-3647.3,7777600000,45.14081573,2908159744,1,,,,,
CEAT IS Equity,Ceat Ltd,1068.1,-1588.687,6171094016,45.19393921,3945350912,1,,,,,
PLNG IS Equity,Petronet LNG Ltd,248.6,9229.6,6360699904,46.65640259,10070351872,1,,,,,
LGBB IS Equity,LG Balakrishnan & Bros Ltd,425,47.855,1017420992,46.97043991,810777280,1,,,,,
BRGR IS Equity,Berger Paints India Ltd,236,769.3,3150299904,48.35475159,2813837568,1,,,,,
OBC IS Equity,Oriental Bank of Commerce,90.05,0,32086816768,48.37166977,25937946624,1,,,,,
NBVL IS Equity,Nava Bharat Ventures Ltd,162,-3529.831,8657121280,48.68504333,2075187456,1,,,,,
OAXE IS Equity,Omaxe Ltd,140.85,2027.71,-381620000,49.01335526,1228634240,1,,,,,
BCORP IS Equity,Birla Corp Ltd,354,532.499,2663982080,49.56937408,1328784896,1,,,,,
FSOL IS Equity,Firstsource Solutions Ltd,35.45,1169.21,2050099968,49.58761215,3022028800,1,,,,,
GFLC IS Equity,Gujarat Fluorochemicals Ltd,491,6706.775,-570643968,50.45569992,5783222272,1,,,,,
JAGP IS Equity,Jagran Prakashan Ltd,152.8,-1816.764,4295678976,50.47009659,2438938624,1,,,,,
GAIL IS Equity,GAIL India Ltd,343.9,7328.2,34254200832,51.12033081,31086536704,1,,,,,
SVLS IS Equity,Suven Life Sciences Ltd,203.25,116.3924789,-5854000,51.33581161,0,1,,,,,
UTCEM IS Equity,UltraTech Cement Ltd,2998.05,-5001.2,36369301504,51.57117081,22527680512,1,,,,,
WPL IS Equity,Wockhardt Ltd,970.8,2891.6,3139099904,52.08379745,4889817600,1,,,,,
UPLL IS Equity,UPL Ltd,454.35,906,7350499840,55.55905533,16261141504,1,,,,,
INBK IS Equity,Indian Bank,102.65,0,8695799808,57.28805542,29505632256,1,,,,,
EDA IS Equity,Ess Dee Aluminium Ltd,144.45,-480.649,1527907968,57.61168289,881331200,1,,,,,
HSI IS Equity,HSIL Ltd,270,142.444,1880132992,59.40569305,1376493696,1,,,,,
CDH IS Equity,Cadila Healthcare Ltd,347.5,3227,9683000320,59.97737885,12253472768,1,,,,,
NHPC IS Equity,NHPC Ltd,21.5,6571.5,32487800832,60.39468765,26401984512,1,,,,,
TEEC IS Equity,Techno Electric & Engineering Co Ltd,467.5,1869.049,8787000,60.4467926,1259804928,1,,,,,
INXW IS Equity,Inox Wind Ltd,274.85,5897.22,-1258829952,60.7053566,3089050880,1,,,,,
GCPL IS Equity,Godrej Consumer Products Ltd,1242.95,7030.3,9164099584,60.74925232,10033667072,1,,,,,
KTG IS Equity,Kitex Garments Ltd,418,100.98978,1095979776,61.09957504,1029382784,1,,,,,
APHS IS Equity,Apollo Hospitals Enterprise Ltd,1412,2102.78,3636400128,61.40707779,4380433920,1,,,,,
PIEL IS Equity,Piramal Enterprises Ltd,919.45,5620.1,-21932699648,62.10008621,5438972416,1,,,,,
FB IS Equity,Federal Bank Ltd,48.95,0,11063071744,64.01194763,11747785728,1,,,,,
MOFS IS Equity,Motilal Oswal Financial Services Ltd,279.05,0,-3144640000,64.56463623,1507094912,1,,,,,
ELEQ IS Equity,Elgi Equipments Ltd,132.65,25.02,685150016,65.00629425,482780352,1,,,,,
JKIL IS Equity,J Kumar Infraprojects Ltd,286.5,1352.688,-59239000,65.32061768,1376950912,1,,,,,
APR IS Equity,Apar Industries Ltd,458.05,-2897.4,2516999936,67.59870148,1511676544,1,,,,,
SAIL IS Equity,Steel Authority of India Ltd,43,3164.8,22298099712,69.16569519,27595100160,1,,,,,
VTEX IS Equity,Vardhman Textiles Ltd,777,-5116.074,13095332864,69.18094635,4212595712,1,,,,,
SONA IS Equity,Sona Koyo Steering Systems Ltd,42.75,-72.017,1663708032,69.20867157,771930240,1,,,,,
DCIL IS Equity,Dredging Corp of India Ltd,327.9,0,2171200000,70.5378418,1010348544,1,,,,,
BJE IS Equity,Bajaj Electricals Ltd,190.1,342.38,-5852000,71.37802887,844065408,1,,,,,
KCPL IS Equity,KCP Ltd,69.85,-430.947717,1545176704,71.90036774,946467840,1,,,,,
REDI IS Equity,Redington India Ltd,108.9,4556.307,1097003008,72.34351349,5434211840,1,,,,,
MLIFE IS Equity,Mahindra Lifespace Developers Ltd,425,1926.582,2569474048,72.56282806,2765590016,1,,,,,
RIL IS Equity,Reliance Industries Ltd,1015.8,-309120,3.48E+11,72.61089325,2.05E+11,1,,,,,
SRIN IS Equity,Sunteck Realty Ltd,233,13732.83513,-320386528,72.79089355,891714112,1,,,,,
JYL IS Equity,Jyothy Laboratories Ltd,283,-824.23,1569390976,72.89418793,1573334656,1,,,,,
UFLX IS Equity,Uflex Ltd,153.7,1373.579,3302949120,73.45927429,4432857600,1,,,,,
RCF IS Equity,Rashtriya Chemicals & Fertilizers Ltd,37.9,4127.8,1018600000,73.60127258,3866355968,1,,,,,
BHFC IS Equity,Bharat Forge Ltd,834.1,4522.87,9417450496,74.1957016,7670476800,1,,,,,
GTIC IS Equity,Gati Ltd,114.5,-747.69,556499968,75.141716,806114496,1,,,,,
DISH IS Equity,Dishman Pharmaceuticals & Chemicals Ltd,364.25,196.442,2151147008,75.35161591,1265242240,1,,,,,
KVB IS Equity,Karur Vysya Bank Ltd/The,407,0,-12563241984,75.77593994,5052359680,1,,,,,
